año	código	total
2007	002	12558073
2007	009	0
2007	019	47659419
2007	142	2367000
2007	150	1232900
2008	002	121027318
2008	009	3691624
2008	019	492034963
2008	142	53003395
2008	150	30948758
2009	002	116992398
2009	009	1972656
2009	019	196003178
2009	142	17799211
2009	150	20646758
2010	002	64063771
2010	009	5506199
2010	019	292428397
2010	142	11871977
2010	150	24066349
2011	002	22123175
2011	009	1212535
2011	019	118294855
2011	142	29952675
2011	150	38532311
2012	002	10631611.97
2012	009	90474.23
2012	019	11974812.660000002
2012	142	40604
2012	150	732752.26
